date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:18	8049/8049	---M--	200	added ('OK')	text/css	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/magnific/magnific-popup.css	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/magnific/magnific-popup.css	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:18	5062/5062	---M--	200	added ('OK')	text/css	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.css	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.css	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:22	20895/20895	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/magnific/jquery.magnific-popup.min.js	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/magnific/jquery.magnific-popup.min.js	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:23	548481/548481	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Feb%202019%2014:44:54%20GMT	http://tongdai-fpt.com/image/cache/catalog/quang_truong_ba_dinh_1-850x500.png	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/cache/catalog/quang_truong_ba_dinh_1-850x500.png	(from http://tongdai-fpt.com/cap-quang-fpt)
09:06:30	51471/51471	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/moment/moment.min.js	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/moment/moment.min.js	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:32	125668/125668	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Feb%202019%2013:50:56%20GMT	http://tongdai-fpt.com/image/cache/catalog/tin-tuc/danh-gia-truyen-hinh-fpt-gia-dinh-1200x630.jpg	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/cache/catalog/tin-tuc/danh-gia-truyen-hinh-fpt-gia-dinh-1200x630.jpg	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:34	23080/23080	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.js	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/bootstrap-datetimepicker.min.js	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:42	470193/470193	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Dec%202017%2004:30:50%20GMT	https://www.lapmang.vn/image/catalog/san-pham/khuyen-mai-cuoc-truyen-hinh.jpg	C:/Users/bangn/Desktop/FPT/www.lapmang.vn/image/catalog/san-pham/khuyen-mai-cuoc-truyen-hinh.jpg	(from http://tongdai-fpt.com/dich-vu-truyen-hinh-fpt)
09:06:43	76/76	---MC-	200	added ('OK')	application/json	date:Fri,%2001%20Mar%202019%2002:06:43%20GMT	http://tongdai-fpt.com/index.php?route=extension/module/newsletter/addCustomer	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/indexcba8.json	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:06:50	115750/115750	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Nov%202018%2002:44:03%20GMT	http://tongdai-fpt.com/image/catalog/tin-tuc/danh-gia-truyen-hinh-fpt-gia-dinh.jpg	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/catalog/tin-tuc/danh-gia-truyen-hinh-fpt-gia-dinh.jpg	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:07:02	250282/250282	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20May%202018%2016:21:56%20GMT	http://tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/moment/moment-with-locales.min.js	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/catalog/view/javascript/jquery/datetimepicker/moment/moment-with-locales.min.js	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:07:03	128986/128986	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Feb%202019%2013:51:08%20GMT	http://tongdai-fpt.com/image/cache/catalog/FPT%20Bac%20Giang/4de33e82b7-1200x630.jpeg	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/cache/catalog/FPT%20Bac%20Giang/4de33e82b7-1200x630.jpg	(from http://tongdai-fpt.com/tong-dai-fpt-bac-giang-lap-mang-internet-qua-tong-dai-fpt)
09:07:09	226503/226503	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Nov%202018%2002:44:03%20GMT	http://tongdai-fpt.com/image/catalog/tin-tuc/truyen-hinh-so-fpt-1.jpg	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/catalog/tin-tuc/truyen-hinh-so-fpt-1.jpg	(from http://tongdai-fpt.com/su-dung-truyen-hinh-fpt-ha-noi-co-can-ket-noi-internet-khong)
09:07:10	7194/7194	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Mar%202019%2002:07:10%20GMT	http://tongdai-fpt.com/image/catalog/anh/combothang12.png	C:/Users/bangn/Desktop/FPT/tongdai-fpt.com/image/catalog/anh/combothang12.79.delayed	(from http://tongdai-fpt.com/khuyen-mai-lap-mang-fpt-ha-noithang-4-nam-2018)
